节点名称,横坐标,纵坐标
堰桥,0,9
锡北运河,0,8
西漳,0,7
天一,0,6
刘潭,0,5
庄前,0,4
民丰,0,3
无锡火车站,0,2
胜利门,0,1
三阳广场,0,0
南禅寺,0,-1
谈渡桥,0,-2
太湖广场,0,-3
清名桥,1,-4
人民医院,2,-5
华清大桥,3,-6
扬名,4,-7
南湖家园,4,-8
塘铁桥,4,-9
金匮公园,2,-9
市民中心,0,-9
文化宫,-1,-9
江南大学,-2,-9
长广溪,-2,-10
雪浪,-2,-11
葛埭桥,-2,-12
南方泉,-2,-13
梅园,-7,0
荣巷,-6,0
小桃源,-5,0
河埒口,-4,0
大王基,-3,0
梁溪大桥,-2,0
五爱广场,-1,0
东林广场,1,0
上马墩,2,1
靖海,3,1
广益,4,1
柏庄,5,1
东亭,6,1
庄桥,7,1
云林,8,1
九里河公园,9,1
查桥,10,1
映月湖公园,11,1
迎宾广场,12,1.5
无锡东站,13,2
苏庙,-7,2
钱桥,-6,2
龙山梢,-5,2
石门路,-4,2
盛岸,-3,2
吴桥,-2,2
北栅口,-1,2
广瑞,3,2
东风,3,-1
叙丰,3.5,-2
太湖花园,4,-3
新光路,4.5,-4
旺庄路,5,-5
黄山路,5.5,-6
高浪东路,6,-7
周泾巷,7,-8
无锡新区,8,-9
长江南路,9,-9
硕放机场,10,-9
广石路,-2,5
黄巷,-3,3.5
惠山古镇,-3,1.4
青山湾荣院,-3.6,0.8
西园弄,-4,-1
体育中心,-4,-2
夏家边,-3.5,-3
蠡湖大桥,-3,-4
大剧院,-2,-5
五湖大道,-1,-6
周新苑,0,-8
吴都路,0,-10
丰润道,0,-11
博览中心,0,-12
