,前一站,后一站,地铁线,时间(分钟)
1,堰桥,锡北运河,1,2
2,锡北运河,西漳,1,3
3,西漳,天一,1,2
4,天一,刘潭,1,2
5,刘潭,庄前,1,3
6,庄前,民丰,1,2
7,民丰,无锡火车站,1,2
8,无锡火车站,胜利门,1,3
9,胜利门,三阳广场,1,1
10,三阳广场,南禅寺,1,4
11,南禅寺,谈渡桥,1,1
12,谈渡桥,太湖广场,1,2
13,太湖广场,清名桥,1,2
14,清名桥,人民医院,1,2
15,人民医院,华清大桥,1,2
16,华清大桥,扬名,1,3
17,扬名,南湖家园,1,2
18,南湖家园,塘铁桥,1,2
19,塘铁桥,金匮公园,1,2
20,金匮公园,市民中心,1,2
21,市民中心,文化宫,1,3
22,文化宫,江南大学,1,2
23,江南大学,长广溪,1,2
24,长广溪,雪浪,1,3
25,雪浪,葛埭桥,1,2.5
26,葛埭桥,南方泉,1,2
27,锡北运河,堰桥,1,2
28,西漳,锡北运河,1,3
29,天一,西漳,1,2
30,刘潭,天一,1,2
31,庄前,刘潭,1,3
32,民丰,庄前,1,2
33,无锡火车站,民丰,1,2
34,胜利门,无锡火车站,1,3
35,三阳广场,胜利门,1,1
36,南禅寺,三阳广场,1,4
37,谈渡桥,南禅寺,1,1
38,太湖广场,谈渡桥,1,2
39,清名桥,太湖广场,1,2
40,人民医院,清名桥,1,2
41,华清大桥,人民医院,1,2
42,扬名,华清大桥,1,3
43,南湖家园,扬名,1,2
44,塘铁桥,南湖家园,1,2
45,金匮公园,塘铁桥,1,2
46,市民中心,金匮公园,1,2
47,文化宫,市民中心,1,3
48,江南大学,文化宫,1,2
49,长广溪,江南大学,1,2
50,雪浪,长广溪,1,3
51,葛埭桥,雪浪,1,2.5
52,南方泉,葛埭桥,1,2
53,梅园,荣巷,2,2
54,荣巷,小桃源,2,2
55,小桃源,河埒口,2,2
56,河埒口,大王基,2,2
57,大王基,梁溪大桥,2,2
58,梁溪大桥,五爱广场,2,2
59,五爱广场,三阳广场,2,2
60,三阳广场,东林广场,2,3
61,东林广场,上马墩,2,2
62,上马墩,靖海,2,2
63,靖海,广益,2,2
64,广益,柏庄,2,2
65,柏庄,东亭,2,2
66,东亭,庄桥,2,3
67,庄桥,云林,2,2
68,云林,九里河公园,2,2
69,九里河公园,查桥,2,3
70,查桥,映月湖公园,2,3
71,映月湖公园,迎宾广场,2,2
72,迎宾广场,无锡东站,2,1
73,荣巷,梅园,2,2
74,小桃源,荣巷,2,2
75,河埒口,小桃源,2,2
76,大王基,河埒口,2,2
77,梁溪大桥,大王基,2,2
78,五爱广场,梁溪大桥,2,2
79,三阳广场,五爱广场,2,2
80,东林广场,三阳广场,2,3
81,上马墩,东林广场,2,2
82,靖海,上马墩,2,2
83,广益,靖海,2,2
84,柏庄,广益,2,2
85,东亭,柏庄,2,2
86,庄桥,东亭,2,3
87,云林,庄桥,2,2
88,九里河公园,云林,2,2
89,查桥,九里河公园,2,3
90,映月湖公园,查桥,2,3
91,迎宾广场,映月湖公园,2,2
92,无锡东站,迎宾广场,2,1
93,苏庙,钱桥,3,2
94,钱桥,龙山梢,3,2
95,龙山梢,石门路,3,3
96,石门路,盛岸,3,2
97,盛岸,吴桥,3,3
98,吴桥,北栅口,3,2
99,北栅口,无锡火车站,3,2
100,无锡火车站,广瑞,3,2
101,广瑞,靖海,3,3
102,靖海,东风,3,2
103,东风,叙丰,3,1
104,叙丰,太湖花园,3,3
105,太湖花园,新光路,3,2
106,新光路,旺庄路,3,2
107,旺庄路,黄山路,3,2
108,黄山路,高浪东路,3,2
109,高浪东路,周泾巷,3,3
110,周泾巷,无锡新区,3,4
111,无锡新区,长江南路,3,2
112,长江南路,硕放机场,3,4
113,钱桥,苏庙,3,2
114,龙山梢,钱桥,3,2
115,石门路,龙山梢,3,3
116,盛岸,石门路,3,2
117,吴桥,盛岸,3,3
118,北栅口,吴桥,3,2
119,无锡火车站,北栅口,3,2
120,广瑞,无锡火车站,3,2
121,靖海,广瑞,3,3
122,东风,靖海,3,2
123,叙丰,东风,3,1
124,太湖花园,叙丰,3,3
125,新光路,太湖花园,3,2
126,旺庄路,新光路,3,2
127,黄山路,旺庄路,3,2
128,高浪东路,黄山路,3,2
129,周泾巷,高浪东路,3,3
130,无锡新区,周泾巷,3,4
131,长江南路,无锡新区,3,2
132,硕放机场,长江南路,3,4
133,刘潭,广石路,4,2
134,广石路,黄巷,4,3
135,黄巷,盛岸,4,2
136,盛岸,惠山古镇,4,3
137,惠山古镇,青山湾荣院,4,2
138,青山湾荣院,河埒口,4,2
139,河埒口,西园弄,4,2
140,西园弄,体育中心,4,3
141,体育中心,夏家边,4,3
142,夏家边,蠡湖大桥,4,3
143,蠡湖大桥,大剧院,4,2
144,大剧院,五湖大道,4,2
145,五湖大道,周新苑,4,2
146,周新苑,市民中心,4,2
147,市民中心,吴都路,4,3
148,吴都路,丰润道,4,3
149,丰润道,博览中心,4,2
150,广石路,刘潭,4,2
151,黄巷,广石路,4,3
152,盛岸,黄巷,4,2
153,惠山古镇,盛岸,4,3
154,青山湾荣院,惠山古镇,4,2
155,河埒口,青山湾荣院,4,2
156,西园弄,河埒口,4,2
157,体育中心,西园弄,4,3
158,夏家边,体育中心,4,3
159,蠡湖大桥,夏家边,4,3
160,大剧院,蠡湖大桥,4,2
161,五湖大道,大剧院,4,2
162,周新苑,五湖大道,4,2
163,市民中心,周新苑,4,2
164,吴都路,市民中心,4,3
165,丰润道,吴都路,4,3
166,博览中心,丰润道,4,2
