城市,PC1,PC2,城市,PC1,PC2
北京,2.0797 ,-1.8797 ,郑州,-0.5129 ,-0.0484 
天津,0.3137 ,-0.2826 ,武汉,-0.2808 ,-0.0866 
石家庄,-0.6207 ,-0.1369 ,长沙,-0.4668 ,-0.1064 
太原,-0.5292 ,0.3727 ,广州,1.2713 ,-0.3615 
呼和浩特,-0.6675 ,0.2933 ,深圳,3.4141 ,4.2821 
沈阳,-0.2717 ,-0.1150 ,南宁,-0.8297 ,-0.0315 
大连,-0.1396 ,0.0879 ,海口,-0.6344 ,0.4009 
长春,-0.5417 ,0.1244 ,重庆,-0.2700 ,-1.0830 
哈尔滨,-0.4713 ,-0.0693 ,成都,-0.2575 ,-0.4255 
上海,2.4635 ,-2.3051 ,贵阳,-0.7089 ,0.1730 
南京,0.2151 ,-0.0316 ,昆明,-0.5202 ,0.0593 
杭州,0.3260 ,-0.0456 ,西安,-0.4605 ,-0.1228 
宁波,0.1616 ,0.1024 ,兰州,-0.6034 ,0.3184 
合肥,-0.7504 ,0.0216 ,西宁,-0.8364 ,0.1508 
福州,-0.4338 ,0.0700 ,银川,-0.6393 ,0.4328 
厦门,0.3932 ,1.5625 ,乌鲁木齐,-0.3185 ,0.5701 
南昌,-0.7003 ,0.1053 ,南宁,2.0797 ,-1.8797 
济南,-0.3484 ,0.1058 ,海口,0.3137 ,-0.2826 
青岛,-0.2177 ,0.0607 ,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
