城市,综合得分,abs_score
深圳,3.6656 ,3.665640007
上海,1.0815 ,1.081464738
北京,0.9321 ,0.932143826
南宁,0.9321 ,0.932143826
广州,0.7981 ,0.798079215
厦门,0.7321 ,0.732117665
南宁,-0.5984 ,0.598374612
西宁,-0.5503 ,0.55026276
合肥,-0.5267 ,0.526676772
重庆,-0.5056 ,0.505635409
石家庄,-0.4805 ,0.480451467
南昌,-0.4668 ,0.46680896
贵阳,-0.4533 ,0.453295216
呼和浩特,-0.3890 ,0.38901783
郑州,-0.3783 ,0.378251786
西安,-0.3626 ,0.362629629
长沙,-0.3624 ,0.362362319
哈尔滨,-0.3548 ,0.354776719
昆明,-0.3522 ,0.352237361
城市,综合得分,
长春,-0.3487 ,0.348669328
兰州,-0.3362 ,0.336236105
海口,-0.3344 ,0.334364566
银川,-0.3286 ,0.328599441
成都,-0.3062 ,0.30619143
福州,-0.2878 ,0.287807036
太原,-0.2678 ,0.267806224
沈阳,-0.2263 ,0.226308231
武汉,-0.2245 ,0.224510127
杭州,0.2183 ,0.218256299
济南,-0.2168 ,0.216791329
宁波,0.1445 ,0.144456371
南京,0.1436 ,0.143614456
天津,0.1409 ,0.14088939
海口,0.1409 ,0.14088939
青岛,-0.1370 ,0.137022449
大连,-0.0737 ,0.073672898
乌鲁木齐,-0.0609 ,0.060935182
