,,,,,2013年第三次经济普查,,,,单位：法人数量,,,,
,,,,,,,,,,,,,
地区,"农、林、
牧、渔业",采矿业,制造业,"电力、热力、
燃气及水生
产和供应业",建筑业,"交通运输、
仓储和
邮政业","住宿和
餐饮业","信息传输、
软件和信息
技术服务业",房地产业,"科学研究
和技术
服务业","水利、环境
和公共设
施管理业",教育,"文化、
体育和
娱乐业"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
北  京,561,127,33023,638,18426,14150,16323,47608,17806,71148,3964,11145,26787
天  津,481,93,44653,528,9241,10440,2981,7844,5842,14491,1416,3803,2544
河  北,9590,6588,93568,1839,14024,9582,4458,4211,13782,13650,3243,19794,7388
山  西,5022,5567,21612,1211,6192,5205,3411,1744,6747,6911,2583,10068,5601
内蒙古,7416,4657,15438,1587,4238,4492,2773,1869,6041,5512,2129,6488,3104
辽  宁,9607,5444,82972,1895,19727,12109,6474,8724,15314,17888,3745,13308,7967
吉  林,7610,1182,19348,1149,4941,3146,1594,2399,4384,4556,1335,5572,2736
黑龙江,10946,1866,24466,1367,6148,4305,2693,2703,6024,5916,1708,7719,3988
上  海,368,2,79599,165,16163,15013,12514,14045,15129,17386,2035,5708,6266
江  苏,12971,643,346771,2471,43284,25948,11328,21460,29144,40130,7501,17858,15410
浙  江,4118,1279,365388,4338,23416,16851,13887,16505,23807,25323,5542,21049,14697
安  徽,11993,2405,71494,2426,16073,10242,5874,6130,12522,12606,3043,14217,8852
福  建,2468,2157,86140,6096,10122,8976,6430,6636,10048,12126,3028,13974,7234
江  西,4108,3635,44179,3758,7110,8097,3291,2506,7337,6936,2414,13457,5098
山  东,12933,3733,183231,2399,29959,21632,12168,10079,21817,40568,5025,24364,11541
河  南,10713,5741,100313,2181,12844,9392,11136,4809,14387,24110,4033,40079,13048
湖  北,7819,3749,60233,2969,16439,10062,10214,7728,15705,20212,4821,17774,10128
湖  南,7023,7122,59905,5339,8232,6398,9228,5672,11361,13489,3866,21741,14474
广  东,8613,2794,300938,8431,23939,26662,18606,27126,41719,35982,5549,36113,14695
广  西,3420,2988,24216,2587,4730,5092,3472,2546,8447,10361,2762,18301,6665
海  南,784,240,2661,345,3174,1127,1362,855,4165,1525,384,3110,1343
重  庆,2982,2206,42594,1929,7119,5035,12436,5775,8709,6947,1710,10133,5682
四  川,4505,4660,48284,5701,9808,7846,7794,5120,10927,15817,3537,23458,12806
贵  州,1084,5575,21692,1606,3617,2648,4060,1410,5550,3919,1224,9880,2853
云  南,4541,5739,17148,2291,7760,4006,3572,3433,7488,7507,2347,9890,5432
西  藏,44,160,981,119,2067,254,461,144,158,445,72,791,363
陕  西,1958,3314,28282,1831,10479,4885,5933,3694,8226,9181,2661,14851,5611
甘  肃,1872,1779,12677,1374,2837,2514,2483,1047,3845,3713,1156,9421,3331
青  海,465,715,2997,443,1207,710,734,373,1139,1266,445,1677,888
宁  夏,1117,676,5040,282,1269,979,702,422,1371,1209,395,1855,1087
新  疆,4692,2276,12382,1114,2934,4250,1200,1490,4983,4948,1130,6310,2925
